## Automatically Generated Tests ##
A[32]			 B[32]			 Op[4]			 Sa[5]			 C[32]			 V
0x3135e680		 0x2134237a		 0x2			 0x0			 0x0		 0
0x0		 0x4b8117f0		 0xe			 0x8			 0x4b8117		 0
0x32bc2b60		 0x494d6c5a		 0x0			 0x0			 0x1		 0
0x78981e85		 0x631ccd29		 0x2			 0x0			 0x0		 0
0x18ffd97c		 0x0		 0x4			 0x0			 0x0		 0
0x567bf5b5		 0x457f4e1b		 0x5			 0x0			 0xa8800040		 0
0x6da1b65e		 0xc2174c02		 0x1			 0x0			 0xefb7fe5e		 0
0x0		 0xb3b28702		 0xe			 0x10			 0xb3b2		 0
0x0		 0xdcb4ba2		 0xa			 0x16			 0xe8800000		 0
0x0		 0x125420bf		 0xe			 0x11			 0x92a		 0
0xa635d457		 0x9a8fcd97		 0x0			 0x0			 0x1		 0
0x7609e88c		 0x9dbbef90		 0x0			 0x0			 0x1		 0
0x61b7daf4		 0x59a04505		 0x5			 0x0			 0x8648200a		 0
0xdfdbd8a1		 0x34f109c8		 0x5			 0x0			 0x42616		 0
0xc293f862		 0xd1ac4b9c		 0x1			 0x0			 0xd3bffbfe		 0
0x0		 0x3e48feb8		 0xf			 0x1b			 0x7		 0
0x997a19b5		 0x1b4a9465		 0x5			 0x0			 0x6485620a		 0
0x5d968735		 0x2783bae7		 0x5			 0x0			 0x80684008		 0
0xf9f0eaff		 0x25b1c5c3		 0x7			 0x0			 0xdc412f3c		 0
0xd31644cd		 0xa6a02efd		 0x5			 0x0			 0x8499102		 0
0xd97f7775		 0xe3e9a008		 0x7			 0x0			 0x3a96d77d		 0
0xb502d95f		 0x938be836		 0x2			 0x0			 0x0		 0
0xccc4bddf		 0xb8d052f		 0x0			 0x0			 0x1		 0
0xd7ef6f5b		 0x0		 0x4			 0x0			 0x1		 0
0x4b7bba71		 0x3f0e59c8		 0x0			 0x0			 0x1		 0
0x5c0b5839		 0x45c7e37e		 0x2			 0x0			 0x0		 0
0x56d43dc1		 0x29f6b0cb		 0x5			 0x0			 0x80094234		 0
0x0		 0x7dcd5409		 0xf			 0x19			 0x3e		 0
0x0		 0xcd818d1d		 0xb			 0x1a			 0x74000000		 0
0x1fa139b4		 0xe7a13d0b		 0x7			 0x0			 0xf80004bf		 0
0xb44afa3a		 0x82838230		 0x5			 0x0			 0x493405c5		 0
0x0		 0x61f31d91		 0xe			 0x11			 0x30f9		 0
0x9ab5814b		 0x2ea4fa4a		 0x5			 0x0			 0x414a04b4		 0
0xcd090992		 0x5b3350e1		 0x7			 0x0			 0x963a5973		 0
0x0		 0x2c5e3b87		 0xf			 0x6			 0xb178ee		 0
0x1155474e		 0x0		 0x6			 0x0			 0x1		 0
0x46cb9603		 0x0		 0x4			 0x0			 0x0		 0
0xa0fef779		 0x217df10		 0x2			 0x0			 0x0		 0
0xd13aafc6		 0x14880d63		 0x5			 0x0			 0x2a455018		 0
0x1830df46		 0x64c5440e		 0x0			 0x0			 0x1		 0
0x0		 0xc149aeb6		 0xe			 0x2			 0x30526bad		 0
0x0		 0xb4431f6d		 0xe			 0x9			 0x5a218f		 0
0x3e9c22ad		 0x0		 0x4			 0x0			 0x0		 0
0xf445807		 0x7bfd5a82		 0x1			 0x0			 0x7ffd5a87		 0
0xb17eaffe		 0x713e1a99		 0x1			 0x0			 0xf17ebfff		 0
0xe8b0a8d5		 0xb3672857		 0x1			 0x0			 0xfbf7a8d7		 0
0xf145c88		 0x0		 0x4			 0x0			 0x0		 0
0x300cff0a		 0x723258fd		 0x2			 0x0			 0x0		 0
0x4e36a2e4		 0x0		 0x4			 0x0			 0x0		 0
0xc553935f		 0x0		 0x6			 0x0			 0x0		 0
0xfb81da0f		 0x4e5ea2da		 0x1			 0x0			 0xffdffadf		 0
0x795afb04		 0xd2bcd62b		 0x0			 0x0			 0x1		 0
0x0		 0x6ce2922f		 0xb			 0xa			 0x8a48bc00		 0
0x6af61bcb		 0x1acdf0a6		 0x2			 0x0			 0x0		 0
0xf95d45fb		 0x22a27017		 0x7			 0x0			 0xdbff35ec		 0
0x7df397ff		 0x0		 0x4			 0x0			 0x0		 0
0x0		 0x34256b00		 0xe			 0x1a			 0xd		 0
0x0		 0x5f99b505		 0xe			 0x8			 0x5f99b5		 0
0x9c90696e		 0x2312453a		 0x1			 0x0			 0xbf926d7e		 0
0x0		 0xb5c61957		 0xb			 0x15			 0x2ae00000		 0
0x7b9aecee		 0xc9c5cc6e		 0x1			 0x0			 0xfbdfecee		 0
0x0		 0x5fbbc7d5		 0xa			 0x17			 0xea800000		 0
0xc18b4edf		 0x0		 0x6			 0x0			 0x0		 0
0x4cc38116		 0x87101eab		 0x0			 0x0			 0x1		 0
0xb5db787f		 0xb80ab647		 0x0			 0x0			 0x1		 0
0x7b7e2ffd		 0x0		 0x6			 0x0			 0x1		 0
0xece7bc26		 0xc045b1ca		 0x2			 0x0			 0x0		 0
0x9a006cfc		 0xf6850e73		 0x2			 0x0			 0x0		 0
0xcbd54f05		 0x0		 0x4			 0x0			 0x1		 0
0x23baa672		 0x575d7f1a		 0x5			 0x0			 0x88000085		 0
0x589a0dd5		 0x8f3691ec		 0x2			 0x0			 0x0		 0
0xc51fe880		 0x22eb1a1d		 0x5			 0x0			 0x18000562		 0
0x0		 0xe959f8b4		 0xe			 0x18			 0xe9		 0
0xed3167b6		 0x153db131		 0x5			 0x0			 0x2c20848		 0
0x69e2ea88		 0x68ca0e33		 0x1			 0x0			 0x69eaeebb		 0
0x0		 0xe1fe5d4c		 0xe			 0x18			 0xe1		 0
0x0		 0xd5ecde0a		 0xe			 0x18			 0xd5		 0
0xdc8cc58a		 0x0		 0x4			 0x0			 0x1		 0
0xb342896		 0x3b33a283		 0x1			 0x0			 0x3b37aa97		 0
0x0		 0x7b8cd2a4		 0xb			 0x1a			 0x90000000		 0
0x5f7ab033		 0x0		 0x6			 0x0			 0x1		 0
0xb1c20eea		 0xeeabfeef		 0x5			 0x0			 0x140110		 0
0x5f521b7		 0x4c8af129		 0x7			 0x0			 0x497fd09e		 0
0x49e600c3		 0x5a47f8ac		 0x0			 0x0			 0x1		 0
0x917f19a3		 0x0		 0x4			 0x0			 0x1		 0
0x9896f27e		 0x0		 0x4			 0x0			 0x1		 0
0x99d9567		 0x0		 0x6			 0x0			 0x1		 0
