#Code generated from python script with random inputs
A[32]                              B[32]                                 V	C[32]
1860622246                       1320921490                                 1      -1113423560
1816272055                       864342247                                 1      -1614352994


1225859004                       282211929                                 0      1508070933
257445152                       1465544511                                 0      1722989663
899761120                       1609947190                                 1      -1785258986



1519440225                       1006200197                                 1      -1769326874
1765929613                       1419868403                                 1      -1109169280
2060548577                       1349661723                                 1      -884756996
926117439                       340995826                                 0      1267113265

99362305                       457666547                                 0      557028852

1361884884                       2015819072                                 1      -917263340
1842627103                       2064064375                                 1      -388275818
1047156117                       1904494470                                 1      -1343316709

733895275                       605347641                                 0      1339242916


2051535087                       1040001507                                 1      -1203430702

2029761561                       1057545548                                 1      -1207660187


1830616554                       92601879                                 0      1923218433

1223772889                       10560392                                 0      1234333281

55426843                       301589535                                 0      357016378
388382331                       168906677                                 0      557289008

1260288354                       1985443133                                 1      -1049235809
1103796427                       1922750433                                 1      -1268420436
1295270694                       1285198410                                 1      -1714498192


2004267497                       1123421357                                 1      -1167278442
1998883067                       1300977536                                 1      -995106693

39303013                       880939714                                 0      920242727

716488873                       1861043293                                 1      -1717435130

1496954003                       1108784645                                 1      -1689228648
1600053846                       157725905                                 0      1757779751
1174089484                       350993748                                 0      1525083232
1108087012                       1800220605                                 1      -1386659679
1506815928                       1087336176                                 1      -1700815192
1532815621                       398680504                                 0      1931496125

1429405039                       1092166516                                 1      -1773395741
715742477                       1058997027                                 0      1774739504
947198059                       1021683003                                 0      1968881062
1698029346                       740238367                                 1      -1856699583
903126905                       1178838703                                0      2081965608
1027792535                       523162461                                 0      1550954996



107548149                       1660748347                                 0      1768296496
1737248196                       1783651006                                 1      -774068094
1394037182                       1972576309                                 1      -928353805
2043866973                       878442410                                 1      -1372657913
1610126637                       1360345319                                 1      -1324495340
1215550918                       571136310                                 0      1786687228
729882301                       67188543                                0      797070844
1300750606                       249766434                                 0      1550517040
1014559463                       933973053                                 0      1948532516
513679577                       1912297177                                 1      -1868990542
1905259809                       2096304223                                 1      -293403264
913467208                       1299039604                                 1      -2082460484
638462842                       2036558204                                 1      -1619946250

765008095                       893222810                                 0      1658230905

15269133                       217756721                                 0      233025854
919730450                       1388009434                                 1      -1987227412
1721791729                       1036198523                                 1      -1536977044

1731203363                       90518167                                 0      1821721530

89750276                       352597052                                 0      442347328
1079200349                       1034445809                                 0      2113646158
1601036138                       1968527956                                 1      -725403202

697294539                       1672940556                                 1      -1924732201

15401857                       1188223754                                 0      1203625611

15406927                       2075258072                                 0      2090664999
367964558                       1179074117                                 0      1547038675

94330168                       359867975                                0      454198143

1073322599                       1117631426                                 1      -2104013271

1042453878                       1738421073                                 1      -1514092345
517137407                       2011845207                                 1      -1765984682

731699026                       1346122764                                 0      2077821790

729299418                       638550367                                 0      1367849785
918743717                       939996477                                 0      1858740194

125709838                       1269260530                                 0      1394970368
1365673290                       1295831882                                 1      -1633462124

890678511                       599445157                                 0      1490123668
493041458                       494904283                                 0      987945741
1874180404                       403126054                                 1      -2017660838
282707234                       869828645                                 0      1152535879

543835014                       87619878                                 0      631454892

408285698                       2108684941                                 1      -1777996657


#EDGE CASES


