## Automatically Generated Tests ##
A[32]			 B[32]			 Op[4]			 Sa[5]			 C[32]			 V
0x0		 0x351933c1		 0xa			 0x12			 0xcf040000		 0
0x0		 0xd19ffbb8		 0xa			 0x1d			 0x0		 0
0x0		 0xb4ec7ec9		 0xb			 0x12			 0xfb240000		 0
0x0		 0x7d8ea70e		 0xb			 0x9			 0x1d4e1c00		 0
0x0		 0xc169d21e		 0xb			 0x8			 0x69d21e00		 0
0x0		 0x69f2aa8a		 0xa			 0x13			 0x54500000		 0
0x0		 0x4ea5f4a1		 0xb			 0x6			 0xa97d2840		 0
0x0		 0xea5530ce		 0xb			 0x1a			 0x38000000		 0
0x0		 0x6271e6ec		 0xa			 0x15			 0xdd800000		 0
0x0		 0xa3dd4dd4		 0xb			 0x1e			 0x0		 0
0x0		 0xa2dc03c4		 0xa			 0x1e			 0x0		 0
0x0		 0x4a968fb9		 0xa			 0x12			 0x3ee40000		 0
0x0		 0xa50fd282		 0xa			 0xf			 0xe9410000		 0
0x0		 0x5a465c84		 0xb			 0x15			 0x90800000		 0
0x0		 0x11df71ed		 0xa			 0x1f			 0x80000000		 0
0x0		 0xdac43996		 0xa			 0x6			 0xb10e6580		 0
0x0		 0xc7e0b552		 0xb			 0xb			 0x5aa9000		 0
0x0		 0xd980669f		 0xa			 0xa			 0x19a7c00		 0
0x0		 0x82adbce4		 0xb			 0xf			 0xde720000		 0
0x0		 0xa23236b9		 0xa			 0x6			 0x8c8dae40		 0
0x0		 0x727a220a		 0xb			 0xe			 0x88828000		 0
0x0		 0xa1ee60ea		 0xa			 0x1e			 0x80000000		 0
0x0		 0x3ea71c45		 0xb			 0xb			 0x38e22800		 0
0x0		 0xeb85ec2e		 0xb			 0xa			 0x17b0b800		 0
0x0		 0x722633b4		 0xb			 0x1a			 0xd0000000		 0
0x0		 0xb43b7b6		 0xa			 0x1			 0x16876f6c		 0
0x0		 0xba9b45ca		 0xa			 0xa			 0x6d172800		 0
0x0		 0x7d092ce0		 0xa			 0x15			 0x9c000000		 0
0x0		 0xfe563816		 0xa			 0x19			 0x2c000000		 0
0x0		 0xafb3e761		 0xa			 0x1e			 0x40000000		 0
0x0		 0x3aff97a5		 0xb			 0x16			 0xe9400000		 0
0x0		 0x4ea0a5b1		 0xb			 0x1			 0x9d414b62		 0
0x0		 0x7a79ea4c		 0xb			 0xc			 0x9ea4c000		 0
0x0		 0xfd06e366		 0xa			 0xe			 0xb8d98000		 0
0x0		 0xeb5a7c63		 0xb			 0x6			 0xd69f18c0		 0
0x0		 0x83961354		 0xa			 0x12			 0x4d500000		 0
0x0		 0xaf128981		 0xb			 0x18			 0x81000000		 0
0x0		 0x64f7e48c		 0xb			 0x19			 0x18000000		 0
0x0		 0x4d86ac36		 0xa			 0xe			 0xab0d8000		 0
0x0		 0xf54c2205		 0xb			 0x1c			 0x50000000		 0
0x0		 0x7901401c		 0xa			 0x0			 0x7901401c		 0
0x0		 0x20d434a1		 0xa			 0x3			 0x6a1a508		 0
0x0		 0x18d79855		 0xa			 0x1f			 0x80000000		 0
0x0		 0x1b1efd8d		 0xb			 0x5			 0x63dfb1a0		 0
0x0		 0x84c8aa38		 0xb			 0xa			 0x22a8e000		 0
0x0		 0xda8ad302		 0xb			 0x13			 0x98100000		 0
0x0		 0x346561c3		 0xa			 0x3			 0xa32b0e18		 0
0x0		 0xfc6873ce		 0xa			 0x4			 0xc6873ce0		 0
0x0		 0xadf69b19		 0xb			 0x18			 0x19000000		 0
0x0		 0x1236bb5e		 0xa			 0xe			 0xaed78000		 0
0x0		 0x751c5e37		 0xb			 0x14			 0xe3700000		 0
0x0		 0x80cb82a7		 0xb			 0xd			 0x7054e000		 0
0x0		 0xfbb18396		 0xa			 0x0			 0xfbb18396		 0
0x0		 0xbf3b2aea		 0xa			 0x1d			 0x40000000		 0
0x0		 0xbf912820		 0xa			 0x3			 0xfc894100		 0
0x0		 0x5e1af7c8		 0xb			 0xd			 0x5ef90000		 0
0x0		 0x9d81e4f1		 0xb			 0xf			 0xf2788000		 0
0x0		 0x8275455e		 0xb			 0x7			 0x3aa2af00		 0
0x0		 0x7675c835		 0xb			 0x3			 0xb3ae41a8		 0
0x0		 0xc31595df		 0xa			 0x1c			 0xf0000000		 0
0x0		 0x67929d3e		 0xa			 0x9			 0x253a7c00		 0
0x0		 0x2890a6b1		 0xa			 0x3			 0x44853588		 0
0x0		 0xdc569146		 0xa			 0x2			 0x715a4518		 0
0x0		 0xf98ca6d		 0xa			 0xa			 0x6329b400		 0
0x0		 0x3e99666e		 0xa			 0x18			 0x6e000000		 0
0x0		 0xc928ce61		 0xb			 0x0			 0xc928ce61		 0
0x0		 0x88edb284		 0xb			 0x14			 0x28400000		 0
0x0		 0xf564b53d		 0xb			 0x17			 0x9e800000		 0
0x0		 0x8663df5a		 0xa			 0x1			 0xcc7beb4		 0
0x0		 0x7aa6024d		 0xa			 0x10			 0x24d0000		 0
0x0		 0x2a32d4f		 0xb			 0xc			 0x32d4f000		 0
0x0		 0x5036761f		 0xb			 0x1			 0xa06cec3e		 0
0x0		 0xbd281491		 0xa			 0xe			 0x5244000		 0
0x0		 0xd15b0f12		 0xb			 0x8			 0x5b0f1200		 0
0x0		 0xbd1c7c25		 0xa			 0x1d			 0xa0000000		 0
0x0		 0x3d1c1e6		 0xa			 0xe			 0x70798000		 0
0x0		 0x574f6a5a		 0xb			 0xa			 0x3da96800		 0
0x0		 0x780f31aa		 0xa			 0xc			 0xf31aa000		 0
0x0		 0x49c8d8d3		 0xa			 0x15			 0x1a600000		 0
0x0		 0x6cb61150		 0xa			 0x2			 0xb2d84540		 0
0x0		 0xc1bd379f		 0xb			 0x1e			 0xc0000000		 0
0x0		 0x77dbaccf		 0xa			 0x16			 0x33c00000		 0
0x0		 0xb6c6f92f		 0xa			 0x4			 0x6c6f92f0		 0
0x0		 0x13c1802e		 0xa			 0x12			 0xb80000		 0
0x0		 0x698593fa		 0xb			 0x1b			 0xd0000000		 0
0x0		 0xd3076237		 0xb			 0x19			 0x6e000000		 0
0x0		 0x265baae2		 0xa			 0x1f			 0x0		 0
0x0		 0x583eacf1		 0xb			 0x8			 0x3eacf100		 0
0x0		 0x65627914		 0xb			 0x10			 0x79140000		 0
0x0		 0xb9371b33		 0xa			 0x2			 0xe4dc6ccc		 0
