## Automatically Generated Tests ##
B[32]			 Cin[1]			 Sa[5]			 C[32]
0xa02803ee		 0x0			 0x16			 0xfb800000
0xf2880351		 0x0			 0x18			 0x51000000
0xf056d42f		 0x0			 0xc			 0x6d42f000
0xc6d3aeb		 0x0			 0xe			 0x4ebac000
0xe99475a1		 0x0			 0xb			 0xa3ad0800
0x88d5dd56		 0x0			 0x13			 0xeab00000
0x93d5d37a		 0x0			 0x14			 0x37a00000
0xdbc9951d		 0x0			 0x1d			 0xa0000000
0xa51ea13f		 0x0			 0x17			 0x9f800000
0x99cc4c5c		 0x0			 0x1			 0x339898b8
0x5560d8c3		 0x0			 0x11			 0xb1860000
0x555cc27a		 0x0			 0x11			 0x84f40000
0x2a64ba8		 0x0			 0x16			 0xea000000
0xbd132575		 0x0			 0x0			 0xbd132575
0xf06c76c3		 0x0			 0x14			 0x6c300000
0x7519e540		 0x0			 0x5			 0xa33ca800
0xfc7d5b0f		 0x0			 0x15			 0x61e00000
0x1030f47f		 0x0			 0x16			 0x1fc00000
0x1f9482a1		 0x0			 0x11			 0x5420000
0x59efdac4		 0x0			 0x1b			 0x20000000
0x153b9699		 0x0			 0x0			 0x153b9699
0x3e10ba3c		 0x0			 0x5			 0xc2174780
0x6820b089		 0x0			 0xd			 0x16112000
0x4aebcd23		 0x0			 0x1e			 0xc0000000
0x1a07caf4		 0x0			 0x1a			 0xd0000000
0xe9f4ee6e		 0x0			 0x15			 0xcdc00000
0xa7c77467		 0x0			 0x16			 0x19c00000
0xe0ecd98a		 0x0			 0x1e			 0x80000000
0x8bf5cff6		 0x0			 0x19			 0xec000000
0x5dbbc1fd		 0x0			 0x4			 0xdbbc1fd0
0x91146f9c		 0x0			 0x1f			 0x0
0xde1c0bb5		 0x0			 0x1f			 0x80000000
0x80bfbedc		 0x0			 0x8			 0xbfbedc00
0x260d7b94		 0x0			 0x8			 0xd7b9400
0x6e5294ac		 0x0			 0xd			 0x52958000
0xcde49234		 0x0			 0x4			 0xde492340
0xb41769c7		 0x0			 0xd			 0xed38e000
